satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
dissatisfied,Loyal Customer,49,Business travel,Eco Plus,491,2,2,2,5,3,1,1,1,1,2,1,2,0,0.0
satisfied,disloyal Customer,28,Business travel,Business,2161,5,5,3,1,1,1,3,3,4,3,5,1,0,0.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco,2095,5,1,3,1,1,1,4,3,4,3,5,1,0,4.0
satisfied,Loyal Customer,41,Business travel,Business,3553,0,0,3,2,4,2,2,5,5,1,2,2,23,19.0
satisfied,Loyal Customer,16,Business travel,Business,1675,4,4,4,5,3,5,4,3,4,1,2,5,0,0.0
dissatisfied,Loyal Customer,66,Business travel,Eco,1031,1,1,1,1,1,1,1,3,4,4,3,1,0,0.0
dissatisfied,Loyal Customer,58,Business travel,Eco,1878,1,1,1,3,3,3,1,4,4,2,4,3,43,46.0
satisfied,Loyal Customer,47,Business travel,Business,499,3,3,3,2,4,4,4,4,4,4,4,5,47,36.0
satisfied,Loyal Customer,61,Personal Travel,Eco,2338,4,4,4,3,3,3,4,2,4,5,5,3,0,0.0
dissatisfied,Loyal Customer,47,Business travel,Business,3112,5,5,5,2,4,1,1,1,1,4,1,1,0,0.0
satisfied,Loyal Customer,53,Personal Travel,Eco,2102,4,4,4,2,5,4,4,4,4,4,4,4,0,0.0
dissatisfied,Loyal Customer,48,Personal Travel,Eco,2241,4,3,1,3,3,3,3,5,4,3,5,3,0,0.0
satisfied,Loyal Customer,59,Business travel,Business,1682,3,3,3,5,5,3,3,2,3,5,3,3,2,0.0
satisfied,Loyal Customer,13,Personal Travel,Eco,2696,5,5,5,4,5,4,4,4,4,5,4,3,0,0.0
dissatisfied,disloyal Customer,49,Business travel,Eco,910,4,2,4,1,1,1,1,3,4,1,4,1,0,0.0
satisfied,Loyal Customer,58,Business travel,Business,2119,2,2,2,3,5,5,5,5,4,4,5,5,0,0.0
satisfied,Loyal Customer,51,Business travel,Business,959,4,4,4,3,5,4,4,4,4,3,4,5,2,0.0
dissatisfied,disloyal Customer,23,Business travel,Eco,1574,1,1,3,4,4,4,2,5,4,2,4,4,22,24.0
satisfied,Loyal Customer,49,Business travel,Business,3599,1,1,1,4,4,5,5,5,5,3,5,4,0,0.0
dissatisfied,Loyal Customer,20,Business travel,Eco,2170,5,5,5,2,2,2,2,4,3,4,4,2,8,2.0
dissatisfied,disloyal Customer,39,Business travel,Business,2144,1,1,3,3,3,3,1,3,4,3,3,3,1,0.0
satisfied,Loyal Customer,48,Business travel,Business,3825,5,5,5,5,1,4,4,4,3,4,4,1,0,5.0
satisfied,Loyal Customer,24,Business travel,Business,2594,1,1,1,5,5,5,3,2,4,2,5,5,0,0.0
satisfied,Loyal Customer,43,Personal Travel,Eco,852,1,1,1,4,4,4,3,3,5,4,5,4,0,0.0
dissatisfied,Loyal Customer,49,Personal Travel,Eco,2917,5,2,4,3,3,3,3,5,3,4,4,3,0,0.0
dissatisfied,Loyal Customer,23,Personal Travel,Eco,1884,4,2,2,5,5,5,4,2,4,4,4,5,1,11.0
dissatisfied,disloyal Customer,20,Business travel,Eco,2071,1,1,3,1,1,1,4,4,4,4,4,1,26,10.0
satisfied,Loyal Customer,30,Business travel,Business,1533,2,5,5,5,5,5,1,3,1,2,1,5,0,0.0
dissatisfied,Loyal Customer,77,Business travel,Business,1660,3,4,3,3,2,3,3,3,3,3,3,4,0,0.0
dissatisfied,Loyal Customer,36,Business travel,Business,1681,3,3,3,5,3,2,2,2,2,3,2,3,20,12.0
satisfied,Loyal Customer,44,Personal Travel,Eco Plus,232,4,5,4,5,5,4,4,5,4,4,4,4,0,0.0
dissatisfied,disloyal Customer,36,Business travel,Eco Plus,1846,2,2,3,2,2,2,2,5,4,4,4,2,36,35.0
satisfied,Loyal Customer,80,Business travel,Eco Plus,1278,3,3,3,5,5,5,3,5,3,5,2,5,0,0.0
dissatisfied,Loyal Customer,46,Business travel,Business,4288,5,2,5,2,2,1,3,4,4,2,1,2,168,201.0
satisfied,Loyal Customer,35,Business travel,Business,385,2,3,2,2,5,4,4,4,4,4,4,5,0,0.0
dissatisfied,Loyal Customer,61,Business travel,Eco,371,1,1,1,4,3,3,3,3,3,3,3,2,0,36.0
satisfied,Loyal Customer,61,Personal Travel,Eco,353,4,4,4,3,5,5,5,5,5,5,5,3,0,0.0
dissatisfied,Loyal Customer,44,Personal Travel,Business,2051,0,1,5,1,5,4,2,5,5,5,5,5,83,142.0
satisfied,Loyal Customer,21,Business travel,Business,3527,5,5,5,3,3,5,3,4,3,3,5,3,54,49.0
dissatisfied,disloyal Customer,57,Business travel,Eco,1560,0,3,1,1,1,1,2,3,3,5,3,1,0,0.0
satisfied,Loyal Customer,58,Business travel,Business,2824,5,5,5,3,5,4,4,4,4,5,4,4,0,0.0
dissatisfied,Loyal Customer,25,Personal Travel,Eco Plus,1876,5,4,3,4,5,4,3,2,4,1,4,4,82,70.0
satisfied,Loyal Customer,62,Personal Travel,Business,959,2,2,2,2,5,4,4,4,4,4,4,5,0,0.0
dissatisfied,Loyal Customer,42,Personal Travel,Eco Plus,1951,5,4,1,2,2,2,3,1,3,5,5,2,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,3835,5,4,4,4,4,5,4,5,5,4,4,4,933,920.0
dissatisfied,disloyal Customer,29,Business travel,Eco,1859,0,1,4,5,5,5,5,2,4,5,2,5,3,5.0
dissatisfied,Loyal Customer,9,Business travel,Business,5397,3,3,3,3,3,3,2,4,3,3,2,3,8,19.0
satisfied,Loyal Customer,80,Business travel,Business,2727,5,5,5,4,4,5,5,5,5,4,5,4,0,0.0
dissatisfied,disloyal Customer,32,Business travel,Business,1565,3,3,3,2,2,2,5,2,4,3,4,2,0,0.0
satisfied,Loyal Customer,55,Business travel,Business,309,1,1,1,2,4,5,5,5,5,3,5,5,0,0.0
satisfied,Loyal Customer,43,Business travel,Business,1730,3,3,3,2,4,5,5,5,5,5,5,3,1,8.0
satisfied,Loyal Customer,52,Business travel,Business,2135,1,1,1,5,4,5,5,5,5,3,5,5,0,0.0
dissatisfied,disloyal Customer,17,Business travel,Eco,1451,3,1,3,3,3,3,5,3,3,5,3,3,10,4.0
satisfied,Loyal Customer,40,Business travel,Business,2285,5,5,5,2,2,3,2,5,4,2,4,2,211,213.0
dissatisfied,Loyal Customer,44,Business travel,Business,3265,4,4,4,1,3,3,3,3,3,1,3,4,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,1144,1,4,1,4,5,5,5,5,5,4,5,3,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,2466,5,5,5,4,4,5,5,5,5,5,5,4,0,0.0
satisfied,Loyal Customer,57,Business travel,Business,429,5,3,5,1,1,4,4,4,4,1,4,3,0,0.0
dissatisfied,Loyal Customer,51,Business travel,Business,3549,1,1,1,1,3,1,1,1,1,4,1,1,0,7.0
satisfied,Loyal Customer,40,Business travel,Business,2789,3,4,3,4,5,4,4,5,4,3,4,4,36,42.0
satisfied,Loyal Customer,43,Business travel,Business,3020,1,1,1,5,5,4,4,4,4,5,4,3,55,54.0
dissatisfied,Loyal Customer,54,Business travel,Business,4882,3,5,5,3,4,2,1,4,3,4,2,4,326,317.0
satisfied,Loyal Customer,45,Business travel,Business,684,2,1,2,2,4,4,4,4,4,3,4,4,0,0.0
satisfied,Loyal Customer,54,Personal Travel,Business,864,4,4,4,4,4,4,5,2,5,5,5,4,13,0.0
dissatisfied,Loyal Customer,25,Personal Travel,Eco,3205,4,1,3,2,2,2,4,2,3,1,4,2,14,8.0
dissatisfied,Loyal Customer,29,Business travel,Business,3842,3,3,3,1,1,1,1,3,4,4,4,1,0,0.0
satisfied,Loyal Customer,37,Business travel,Business,2326,5,5,5,5,4,5,5,5,5,3,5,3,25,28.0
satisfied,Loyal Customer,26,Personal Travel,Eco,1809,5,3,3,5,5,5,3,3,5,3,4,5,128,126.0
satisfied,Loyal Customer,70,Personal Travel,Business,233,0,0,3,3,3,2,2,2,2,3,2,1,35,40.0
dissatisfied,Loyal Customer,34,Business travel,Business,1950,3,3,3,4,3,2,2,2,2,3,2,3,90,90.0
dissatisfied,Loyal Customer,64,Personal Travel,Eco,3893,4,1,3,1,2,5,4,3,4,2,4,2,16,40.0
dissatisfied,Loyal Customer,46,Personal Travel,Eco,3100,5,1,3,2,2,2,5,4,2,4,3,2,0,0.0
dissatisfied,disloyal Customer,40,Business travel,Business,1857,3,3,3,5,5,5,1,3,5,1,1,5,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,1779,1,1,1,5,5,4,4,4,4,5,4,3,0,3.0
satisfied,Loyal Customer,28,Business travel,Business,5106,3,4,3,5,5,5,3,2,4,4,5,5,41,22.0
dissatisfied,Loyal Customer,11,Personal Travel,Eco,1838,5,2,2,2,2,2,3,4,5,3,5,2,9,1.0
dissatisfied,Loyal Customer,43,Business travel,Eco,1380,3,3,3,4,4,4,1,2,2,3,3,4,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,3624,1,1,1,5,4,2,2,2,2,3,2,4,0,7.0
satisfied,Loyal Customer,17,Business travel,Business,1557,4,1,4,4,4,4,3,3,3,1,1,4,0,0.0
dissatisfied,Loyal Customer,25,Business travel,Eco Plus,2183,3,4,4,1,2,1,1,3,4,4,3,1,1,7.0
dissatisfied,Loyal Customer,47,Personal Travel,Eco,1561,4,4,3,5,5,5,3,2,5,3,5,5,0,0.0
dissatisfied,Loyal Customer,64,Business travel,Business,2384,1,1,1,3,3,1,1,1,1,4,1,4,3,0.0
satisfied,Loyal Customer,22,Personal Travel,Eco,3065,2,2,2,4,5,4,4,4,5,1,4,3,10,0.0
satisfied,Loyal Customer,56,Business travel,Business,917,2,2,2,3,4,4,4,4,4,4,4,5,0,1.0
dissatisfied,Loyal Customer,50,Personal Travel,Eco,2951,3,4,3,2,2,2,2,4,3,1,3,2,0,0.0
dissatisfied,disloyal Customer,18,Business travel,Eco,2155,2,3,3,3,5,3,4,3,3,1,4,3,7,21.0
satisfied,Loyal Customer,44,Personal Travel,Eco,974,5,5,5,5,5,5,2,2,5,5,5,5,16,1.0
satisfied,Loyal Customer,13,Personal Travel,Eco,3632,0,0,4,4,4,4,4,4,4,5,4,5,8,0.0
dissatisfied,disloyal Customer,40,Business travel,Business,3989,2,2,3,5,5,5,4,5,4,3,4,5,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,3680,2,2,2,3,5,5,5,5,5,5,5,5,39,40.0
dissatisfied,disloyal Customer,39,Business travel,Business,2156,3,3,4,3,3,3,4,3,3,1,4,3,0,4.0
dissatisfied,Loyal Customer,26,Business travel,Business,3305,3,3,3,3,3,1,2,2,3,3,1,3,8,14.0
dissatisfied,disloyal Customer,26,Business travel,Eco,1596,3,4,2,4,4,4,5,5,2,4,3,4,0,0.0
dissatisfied,disloyal Customer,31,Business travel,Business,3568,2,2,2,5,5,5,3,2,3,4,4,5,18,6.0
dissatisfied,disloyal Customer,36,Business travel,Eco,805,0,2,4,3,5,3,5,4,5,1,1,3,6,0.0
satisfied,Loyal Customer,39,Business travel,Eco,2395,3,3,3,5,5,5,3,5,1,5,5,5,0,0.0
satisfied,Loyal Customer,58,Business travel,Business,88,5,4,5,5,5,5,5,5,4,3,5,4,4,10.0
satisfied,Loyal Customer,31,Business travel,Business,1716,1,1,1,3,3,3,3,4,4,3,4,3,20,22.0
dissatisfied,Loyal Customer,38,Personal Travel,Business,1030,4,3,4,4,4,4,4,3,4,3,4,5,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,1606,5,5,5,3,4,5,5,5,5,4,5,4,3,0.0
satisfied,Loyal Customer,39,Business travel,Business,1932,5,5,5,4,5,5,5,5,5,4,5,3,0,0.0
dissatisfied,Loyal Customer,21,Personal Travel,Eco,3067,1,4,2,3,3,3,4,4,3,3,3,3,0,19.0
satisfied,Loyal Customer,65,Business travel,Eco,388,1,3,1,1,1,4,4,4,4,3,4,4,2,1.0
dissatisfied,Loyal Customer,30,Personal Travel,Eco,2050,3,3,3,4,1,4,4,3,3,5,5,4,0,0.0
dissatisfied,Loyal Customer,45,Personal Travel,Eco,1531,4,2,5,2,2,2,5,2,5,3,5,2,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,1367,5,5,5,4,2,5,5,5,5,3,5,4,0,9.0
satisfied,Loyal Customer,39,Personal Travel,Eco,2990,5,0,1,4,4,4,5,2,5,4,4,4,68,63.0
satisfied,Loyal Customer,27,Business travel,Business,1986,4,4,4,5,5,5,4,3,4,4,4,5,6,0.0
satisfied,Loyal Customer,40,Business travel,Business,467,2,2,2,2,4,4,4,4,4,4,4,3,45,31.0
dissatisfied,Loyal Customer,56,Business travel,Eco,496,3,3,3,4,4,1,1,1,1,3,1,3,0,0.0
dissatisfied,disloyal Customer,27,Business travel,Eco,2280,2,2,3,3,3,3,1,4,5,2,4,3,0,0.0
satisfied,Loyal Customer,43,Personal Travel,Eco,488,1,1,1,4,4,4,4,4,4,4,4,5,51,66.0
dissatisfied,Loyal Customer,32,Personal Travel,Eco Plus,1967,3,2,4,2,2,2,4,4,4,4,3,2,16,5.0
satisfied,Loyal Customer,13,Personal Travel,Business,2674,1,1,1,5,4,4,4,5,4,3,4,3,18,11.0
dissatisfied,Loyal Customer,11,Personal Travel,Eco,2523,3,3,3,2,2,2,2,3,4,3,4,2,13,18.0
satisfied,disloyal Customer,27,Business travel,Eco,2583,4,4,3,5,5,5,4,4,5,2,2,5,8,7.0
satisfied,disloyal Customer,25,Business travel,Eco,1501,4,5,5,4,4,4,2,5,5,4,4,4,0,0.0
satisfied,Loyal Customer,31,Business travel,Business,2002,4,4,4,5,5,5,3,5,5,4,4,5,0,0.0
satisfied,Loyal Customer,35,Business travel,Business,443,2,2,2,3,5,2,2,2,2,4,2,5,14,14.0
satisfied,disloyal Customer,20,Business travel,Business,2878,0,0,4,4,1,4,5,4,5,4,4,4,0,0.0
dissatisfied,Loyal Customer,31,Personal Travel,Eco,2586,3,2,3,5,5,5,1,1,3,3,4,5,16,44.0
satisfied,Loyal Customer,56,Business travel,Business,343,2,2,2,4,5,4,4,4,4,3,4,5,0,2.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco Plus,1788,5,4,3,3,4,3,4,4,4,5,4,3,50,62.0
satisfied,disloyal Customer,22,Business travel,Business,1744,0,5,5,5,5,5,5,3,5,4,5,5,0,0.0
dissatisfied,disloyal Customer,20,Business travel,Eco,2326,2,2,4,1,5,1,2,2,4,2,4,1,68,50.0
satisfied,Loyal Customer,63,Personal Travel,Eco,908,4,4,4,5,4,5,5,5,5,4,5,3,6,7.0
satisfied,Loyal Customer,10,Personal Travel,Eco,2657,1,4,1,3,3,3,3,3,2,4,1,3,0,0.0
satisfied,Loyal Customer,37,Business travel,Business,2129,2,2,2,2,4,2,2,2,2,4,2,3,0,0.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,1360,2,4,3,5,5,5,4,3,3,1,2,5,120,97.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,2000,4,3,2,3,3,3,4,3,4,5,4,3,0,0.0
dissatisfied,disloyal Customer,29,Business travel,Business,2165,3,3,3,4,3,4,2,4,3,1,3,4,91,90.0
dissatisfied,Loyal Customer,70,Personal Travel,Eco Plus,2166,4,2,3,4,4,4,4,3,5,3,4,4,0,0.0
satisfied,Loyal Customer,54,Business travel,Eco,2410,5,5,5,4,4,4,1,1,5,1,4,4,88,79.0
satisfied,Loyal Customer,22,Business travel,Business,4089,3,3,3,4,4,4,5,5,4,5,4,4,15,0.0
satisfied,disloyal Customer,20,Business travel,Business,2671,5,4,3,4,4,4,4,2,5,4,4,4,0,0.0
dissatisfied,Loyal Customer,41,Business travel,Eco Plus,622,1,2,1,4,2,2,2,2,2,2,2,2,6,2.0
dissatisfied,Loyal Customer,59,Business travel,Eco,452,4,4,4,4,2,3,3,3,3,1,3,1,0,0.0
dissatisfied,disloyal Customer,26,Business travel,Eco Plus,3889,2,2,4,2,5,2,3,5,3,4,4,2,0,0.0
dissatisfied,Loyal Customer,63,Personal Travel,Eco,2423,4,4,3,3,3,3,2,3,4,2,4,3,9,36.0
dissatisfied,Loyal Customer,51,Business travel,Eco,356,1,1,1,5,3,3,3,3,3,4,3,3,55,44.0
dissatisfied,Loyal Customer,38,Business travel,Eco,2281,3,4,3,4,4,4,2,3,4,1,4,4,6,16.0
satisfied,Loyal Customer,56,Business travel,Business,3908,1,4,4,2,1,5,5,4,5,3,5,4,103,85.0
satisfied,Loyal Customer,43,Business travel,Eco,292,1,1,1,4,5,4,4,4,4,5,4,3,0,0.0
satisfied,Loyal Customer,15,Personal Travel,Eco,2242,5,5,5,3,4,4,4,4,4,5,4,3,10,0.0
dissatisfied,Loyal Customer,57,Personal Travel,Eco Plus,2279,2,1,4,1,1,1,1,1,3,2,4,1,11,15.0
dissatisfied,Loyal Customer,33,Personal Travel,Eco,1378,4,2,3,3,3,3,4,1,3,2,5,3,1,0.0
satisfied,Loyal Customer,15,Personal Travel,Eco,1950,3,0,3,0,3,4,3,4,4,3,2,3,151,214.0
dissatisfied,disloyal Customer,19,Business travel,Eco,3083,3,3,4,4,4,4,3,2,3,3,4,4,4,11.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco Plus,1887,1,3,3,2,2,2,1,5,3,2,4,2,31,32.0
dissatisfied,Loyal Customer,57,Business travel,Business,2015,2,2,2,5,3,4,4,3,4,3,4,1,8,24.0
satisfied,Loyal Customer,27,Personal Travel,Eco,1142,5,5,5,3,3,3,5,2,5,3,4,3,1,0.0
dissatisfied,Loyal Customer,69,Personal Travel,Eco Plus,1352,2,3,3,4,4,4,2,3,4,2,3,4,1,3.0
satisfied,Loyal Customer,21,Personal Travel,Eco,1854,5,5,5,3,4,5,5,5,4,4,5,3,17,20.0
satisfied,Loyal Customer,42,Business travel,Business,3747,5,5,5,3,5,5,5,5,5,4,5,4,7,0.0
dissatisfied,Loyal Customer,67,Personal Travel,Eco,2051,4,4,1,4,4,4,5,2,4,3,4,4,0,0.0
dissatisfied,Loyal Customer,57,Personal Travel,Eco,2608,4,4,3,5,2,5,3,2,5,3,5,5,5,6.0
dissatisfied,disloyal Customer,28,Business travel,Eco,1447,2,4,4,1,1,1,2,4,3,1,4,1,52,44.0
satisfied,Loyal Customer,24,Personal Travel,Eco Plus,1842,2,2,2,5,5,5,5,2,4,5,4,5,0,0.0
dissatisfied,Loyal Customer,17,Business travel,Business,4767,5,5,5,2,2,2,3,4,4,4,3,2,8,107.0
satisfied,Loyal Customer,56,Personal Travel,Eco,506,5,5,5,2,5,4,4,4,4,3,4,5,0,0.0
satisfied,Loyal Customer,38,Business travel,Business,2615,5,5,5,4,3,4,4,4,4,1,4,5,4,0.0
dissatisfied,Loyal Customer,62,Personal Travel,Eco,1927,1,2,3,2,3,2,1,3,4,3,2,3,249,288.0
satisfied,Loyal Customer,42,Business travel,Business,2147,1,1,1,2,5,5,5,5,5,4,5,5,3,30.0
dissatisfied,disloyal Customer,33,Business travel,Eco,2283,1,1,3,1,4,3,3,3,3,4,4,4,206,243.0
satisfied,Loyal Customer,55,Personal Travel,Business,598,3,3,3,1,4,5,5,5,5,5,5,5,8,8.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco,992,4,1,1,1,1,1,4,3,4,5,5,1,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,597,3,3,3,2,4,4,4,4,4,4,4,4,6,0.0
satisfied,Loyal Customer,32,Business travel,Eco Plus,2115,0,0,1,1,1,1,1,4,4,4,5,1,5,0.0
dissatisfied,Loyal Customer,17,Personal Travel,Eco,3745,1,3,2,3,2,1,3,1,3,2,2,2,139,142.0
dissatisfied,disloyal Customer,37,Business travel,Eco,1760,3,1,3,1,4,4,4,4,4,4,4,4,180,217.0
dissatisfied,Loyal Customer,11,Personal Travel,Eco,1647,4,2,3,3,3,3,4,3,4,3,1,3,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,3294,3,2,3,4,5,4,4,4,4,5,4,5,0,9.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,1134,3,4,3,4,5,3,3,4,3,5,3,2,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,2600,3,3,3,2,5,2,2,2,2,4,2,4,14,0.0
satisfied,Loyal Customer,48,Business travel,Business,2095,3,3,3,2,4,4,4,4,4,3,4,3,2,0.0
satisfied,Loyal Customer,33,Business travel,Business,1880,2,2,2,4,4,4,2,5,3,5,4,4,14,2.0
dissatisfied,Loyal Customer,39,Business travel,Business,452,5,2,5,4,2,2,2,2,2,3,2,4,23,17.0
dissatisfied,Loyal Customer,55,Personal Travel,Eco,91,2,4,3,1,4,5,5,4,5,3,5,4,0,0.0
satisfied,Loyal Customer,23,Personal Travel,Eco Plus,2005,2,2,2,3,5,3,3,4,3,5,3,3,5,19.0
dissatisfied,Loyal Customer,9,Personal Travel,Eco,2820,3,4,3,4,4,4,2,4,4,4,4,4,0,0.0
dissatisfied,disloyal Customer,27,Business travel,Business,1750,4,4,4,4,4,4,4,4,5,3,5,4,0,0.0
dissatisfied,Loyal Customer,39,Business travel,Business,2216,5,5,5,2,3,3,3,3,4,3,3,1,0,0.0
dissatisfied,Loyal Customer,22,Personal Travel,Eco Plus,2131,4,5,3,5,5,5,4,5,4,4,5,5,7,6.0
satisfied,Loyal Customer,55,Business travel,Business,2141,2,5,2,5,4,2,2,2,2,3,2,3,43,44.0
dissatisfied,Loyal Customer,43,Business travel,Eco,397,5,5,5,4,3,4,4,4,4,4,4,3,0,0.0
dissatisfied,disloyal Customer,27,Business travel,Eco,1718,0,1,1,5,5,5,3,5,3,2,4,5,9,5.0
satisfied,Loyal Customer,52,Business travel,Business,1616,4,4,4,5,5,5,5,4,5,3,5,5,2,0.0
dissatisfied,Loyal Customer,12,Personal Travel,Eco,2235,1,4,3,3,3,3,4,4,3,3,4,3,0,0.0
satisfied,Loyal Customer,59,Personal Travel,Eco,631,5,4,5,5,5,5,5,5,5,4,5,5,0,0.0
satisfied,Loyal Customer,43,Business travel,Business,590,2,2,2,4,4,5,5,5,5,4,5,3,0,0.0
dissatisfied,disloyal Customer,37,Business travel,Business,1589,4,4,1,5,5,5,5,2,4,3,5,5,0,0.0
dissatisfied,Loyal Customer,31,Personal Travel,Eco,1759,4,4,2,2,2,2,4,4,4,3,4,2,0,0.0
dissatisfied,Loyal Customer,21,Business travel,Business,2882,3,3,3,3,3,3,3,5,4,4,3,3,0,0.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,2431,4,2,4,5,2,5,5,4,3,1,3,5,43,48.0
dissatisfied,Loyal Customer,44,Business travel,Business,300,3,3,3,1,3,1,1,1,1,1,1,3,42,22.0
satisfied,Loyal Customer,51,Personal Travel,Eco,2321,4,0,2,4,4,4,4,2,5,5,5,4,0,0.0
dissatisfied,Loyal Customer,62,Personal Travel,Eco Plus,262,2,4,4,3,3,1,1,4,5,4,1,1,67,72.0
satisfied,Loyal Customer,39,Business travel,Business,312,1,1,1,4,5,4,4,4,4,5,4,5,0,0.0
dissatisfied,Loyal Customer,31,Business travel,Business,1557,4,4,4,3,3,3,4,1,4,2,4,3,0,0.0
satisfied,Loyal Customer,48,Business travel,Business,3973,4,4,4,3,5,5,5,5,5,4,5,3,0,0.0
satisfied,Loyal Customer,45,Personal Travel,Eco Plus,612,4,4,4,4,5,2,2,2,2,5,2,5,0,0.0
satisfied,Loyal Customer,53,Business travel,Business,1734,3,5,3,2,5,5,5,5,5,3,5,5,0,0.0
satisfied,disloyal Customer,23,Business travel,Business,1900,2,0,5,2,2,2,3,5,4,3,5,2,4,0.0
dissatisfied,Loyal Customer,31,Business travel,Business,3296,1,3,1,5,5,5,1,2,4,1,3,5,0,0.0
dissatisfied,Loyal Customer,15,Personal Travel,Eco,2942,4,1,3,4,4,4,4,2,4,4,4,4,0,0.0
satisfied,Loyal Customer,57,Business travel,Business,2775,4,4,4,2,4,5,5,5,5,3,5,3,14,7.0
dissatisfied,disloyal Customer,26,Business travel,Eco,1914,3,3,3,5,3,5,4,2,3,3,5,5,0,0.0
dissatisfied,disloyal Customer,40,Business travel,Business,1932,2,2,2,2,2,2,4,4,5,5,5,2,55,57.0
dissatisfied,Loyal Customer,33,Personal Travel,Eco,2053,4,4,1,2,2,2,5,3,4,3,4,2,0,1.0
dissatisfied,disloyal Customer,37,Business travel,Business,1439,3,3,3,2,2,2,5,5,5,3,4,2,16,7.0
dissatisfied,disloyal Customer,29,Business travel,Business,2216,2,2,2,3,3,3,5,4,5,4,5,3,0,0.0
satisfied,Loyal Customer,52,Business travel,Business,1331,2,5,2,4,5,5,5,5,5,5,5,5,10,1.0
dissatisfied,Loyal Customer,8,Business travel,Business,1956,3,3,3,2,2,2,4,2,3,1,4,2,0,0.0
satisfied,Loyal Customer,46,Business travel,Eco,1101,5,5,5,4,4,2,5,1,3,4,5,4,0,0.0
dissatisfied,disloyal Customer,22,Business travel,Eco,1592,0,3,4,1,1,1,5,2,1,3,5,1,0,0.0
dissatisfied,disloyal Customer,23,Business travel,Eco,1579,0,2,2,2,2,2,4,2,4,3,5,2,0,0.0
dissatisfied,Loyal Customer,47,Business travel,Business,346,2,2,2,1,4,1,1,1,1,4,1,2,0,0.0
